x,y,lon,lat,conc
527400,187500,-0.1630567150596048,51.57198574114989,8.975057
527420,187500,-0.16276828075400906,51.571981227927935,8.97082
527440,187500,-0.16247984652347586,51.57197671399718,8.966695
527460,187500,-0.16219141236801668,51.571972199357674,8.963059
527480,187500,-0.16190297828764377,51.57196768400938,8.959867
527500,187500,-0.1616145442823679,51.57196316795231,8.956926
527520,187500,-0.1613261103522013,51.571958651186485,8.956325
527540,187500,-0.1610376764971558,51.571954133711884,8.956295
527560,187500,-0.16074924271724259,51.571949615528496,8.957704
527580,187500,-0.16046080901247428,51.57194509663635,8.960483
527600,187500,-0.16017237538286197,51.57194057703543,8.965153
527620,187500,-0.1598839418284176,51.57193605672574,8.972096
527640,187500,-0.15959550834915295,51.571931535707286,8.981896
527660,187500,-0.1593070749450792,51.57192701398006,8.995115
527680,187500,-0.15901864161620938,51.57192249154406,9.011152
527700,187500,-0.1587302083625534,51.57191796839929,9.029157
527720,187500,-0.1584417751841247,51.57191344454576,9.048066
527740,187500,-0.15815334208093443,51.571908919983464,9.06681
527760,187500,-0.15786490905299322,51.5719043947124,9.084829
527780,187500,-0.157576476100315,51.571899868732544,9.099861
527800,187500,-0.15728804322290882,51.57189534204395,9.118085
527820,187500,-0.15699961042078936,51.571890814646586,9.140613
527840,187500,-0.15671117769396573,51.571886286540455,9.168332
527860,187500,-0.1564227450424514,51.57188175772555,9.198914
527880,187500,-0.15613431246625706,51.5718772282019,9.236512
527900,187500,-0.1558458799653954,51.57187269796946,9.285788
527920,187500,-0.15555744753987746,51.57186816702826,9.318216
527940,187500,-0.15526901518971478,51.571863635378314,9.42275
527960,187500,-0.15498058291491923,51.571859103019584,9.490548
527980,187500,-0.1546921507155039,51.571854569952116,9.795632
526780,187480,-0.1720054464496528,51.57194561793484,9.558264
526800,187480,-0.17171700931037598,51.571941122502615,9.33897
526820,187480,-0.17142857224653593,51.57193662636312,9.195124
526840,187480,-0.17114013525814512,51.57193212951639,9.176923
526860,187480,-0.17085169834521477,51.571927631962396,9.09392
526880,187480,-0.17056326150775938,51.57192313370115,9.096611
526900,187480,-0.17027482474578778,51.57191863473265,9.043165
526920,187480,-0.16998638805931363,51.5719141350569,9.023067
526940,187480,-0.1696979514483478,51.571909634673915,9.009331
526960,187480,-0.16940951491290354,51.57190513358366,8.999268
526980,187480,-0.1691210784529913,51.57190063178617,8.995749
527000,187480,-0.16883264206862397,51.57189612928141,8.989151
527020,187480,-0.1685442057598128,51.57189162606943,8.994242
527040,187480,-0.16825576952657062,51.571887122150194,8.989538
527060,187480,-0.16796733494867927,51.57188262156835,8.993169
527080,187480,-0.16767890050163972,51.571878120421104,9.013742
527100,187480,-0.16739046612946148,51.57187361856507,9.042725
527120,187480,-0.16710203183215766,51.57186911600027,8.995976
527140,187480,-0.1668135976097385,51.5718646127267,8.99207
527160,187480,-0.1665251634622167,51.57186010874435,9.017138
527180,187480,-0.1662367293896038,51.57185560405322,9.098343
